Nombre del Programa,Nombre de la modalidad/Categoría (si aplica) ,Institución a cargo,Características del apoyo,Entrega del apoyo,Descripción del programa,Dato de contacto para pedir informes[formateado],Dato de contacto para pedir informes,Clasificación por prioridad,Profesionista,Necesidad,Tradicional,Lifestyle,Cultural,Emp Social,Alto impacto,Aún no existe,Start up,Crecimiento,Consolidación
"Estímulos para el Bachillerato Universal ""Prepa Sí""",,"Secretaría de Educación
",Beca,Subsidio,Otorga apoyo económico de entre $500 y $700 mensuales para que alumnos de bachillerato y primer año de universidad no tengan que abandonar sus estudios por falta de recursos económicos.,"Mérida número 5, colonia Roma, Delegación Cuauhtémoc, C.P. 06700. (Entre calle Puebla y Av. Chapultepec, Metro Insurgentes)Teléfonos: 01-800-2-PREPASI (01-800-2-7737274)","Mérida número 5, colonia Roma, Delegación Cuauhtémoc, C.P. 06700. (Entre calle Puebla y Av. Chapultepec, Metro Insurgentes)
Teléfonos: 01-800-2-PREPASI (01-800-2-7737274)",Necesidad-NE,0,1,0,0,0,0,0,1,0,0,0
Instituto Nacional de las Personas Adultas Mayores (INAPAM),,SEDESOL,Asesoría/Capacitación,Capacitación,"Por medio de una tarjeta, los beneficiarios tienes acceso a capacitaciones y apoyo para conseguir trabajo. La tarjeta también brinda una serie de beneficios sociales.",(01 55) 5669 4982Página electrónicawww.inapam.gob.mxSedesolInterior del paísLada sin costo01 800 007 3705,"(01 55) 5669 4982
Página electrónica
www.inapam.gob.mx
Sedesol
Interior del país
Lada sin costo
01 800 007 3705",Necesidad-NE,0,1,0,0,0,0,0,1,0,0,0
Programa de Empleo Temporal,,SEDESOL,Subsidio,Subsidio,El interesado puede participar en proyectos sociales o comunitarios a cambio de un apoyo económico equivalente a un salario mínimo.,"(01 55) 5328 5000, ext. 55246Horario de atención9:00 AM a 8:00 PMDirecciónAv. Paseo de la Reforma 51, piso 14,Col. Tabacalera, Del. Cuauhtémoc,CP 06030, México, DF","(01 55) 5328 5000, ext. 55246
Horario de atención
9:00 AM a 8:00 PM
Dirección
Av. Paseo de la Reforma 51, piso 14,
Col. Tabacalera, Del. Cuauhtémoc,
CP 06030, México, DF",Necesidad-NE,0,1,0,0,0,1,0,1,0,0,0
Programa de Apoyo al Empleo,Bécate,STPS,Asesoría/Capacitación,Capacitación,Brinda cursos de capacitación a buscadores de empleo para facilitar su colocación o el desarrollo de una actividad productiva por cuenta propia.,Teléfono 01-800-841-20-20Existen oficinas del Servicio Nacional del Empleo en todas las delegaciones. Consultar en: http://empleo.gob.mx/es_mx/empleo/donde_puedes_encontrarnos,"Teléfono 01-800-841-20-20
Existen oficinas del Servicio Nacional del Empleo en todas las delegaciones. Consultar en: http://empleo.gob.mx/es_mx/empleo/donde_puedes_encontrarnos",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
Programa de Apoyo al Empleo,Movilidad Laboral,STPS,Otros . Gastos de traslado,Subsidio,Otorga apoyo económico a los buscadores de empleo que con fines ocupacionales se trasladan a localidades distintas a las de su residencia.,Teléfono 01-800-841-20-20Existen oficinas del Servicio Nacional del Empleo en todas las delegaciones. Consultar en: http://empleo.gob.mx/es_mx/empleo/donde_puedes_encontrarnos,"Teléfono 01-800-841-20-20
Existen oficinas del Servicio Nacional del Empleo en todas las delegaciones. Consultar en: http://empleo.gob.mx/es_mx/empleo/donde_puedes_encontrarnos",Necesidad-NE,0,1,0,0,0,0,0,1,0,0,0
Programa de Apoyo al Empleo,Repatriados Trabajando,STPS,Otros . Gastos de traslado,Subsidio,Otorga apoyo económico a connacionales repatriados que buscan empleo y desean colocarse en su lugar de origen o residencia.,Teléfono 01-800-841-20-20Existen oficinas del Servicio Nacional del Empleo en todas las delegaciones. Consultar en: http://empleo.gob.mx/es_mx/empleo/donde_puedes_encontrarnos,"Teléfono 01-800-841-20-20
Existen oficinas del Servicio Nacional del Empleo en todas las delegaciones. Consultar en: http://empleo.gob.mx/es_mx/empleo/donde_puedes_encontrarnos",Necesidad-NE,0,1,0,0,0,0,0,1,0,0,0
CECATI 002,,Álvaro Obregón,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CANOA NO. 202 , TIZAPAN C.P. 1090 Del. ALVARO OBREGONDirector: LUIS FERNANDO TORRES MARROQUINTel: 56 16 00 74correo: cecati2.dir@dgcft.sems.gob.mx","CANOA NO. 202 , TIZAPAN C.P. 1090 Del. ALVARO OBREGON
Director: LUIS FERNANDO TORRES MARROQUIN
Tel: 56 16 00 74
correo: cecati2.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 194,,Álvaro Obregón,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"PROLONGACION CALLE DE ARTIFICIOS S/N , EL CAPULINC.P. 1110 ALVARO OBREGONDirector: GEORGINA MENDOZA SAMPERIOTel: 55 16 21 22correo: cecati194.dir@dgcft.sems.gob.mx","PROLONGACION CALLE DE ARTIFICIOS S/N , EL CAPULIN
C.P. 1110 ALVARO OBREGON
Director: GEORGINA MENDOZA SAMPERIO
Tel: 55 16 21 22
correo: cecati194.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 001,,Azcapotzalco,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. AZCAPOTZALCO-LA VILLA NO. 304 , STA. CATARINA C.P. 2250 AZCAPOTZALCOtel: 53 82 96 15correo: cecati1.dir@dgcft.sems.gob.mx","CALZ. AZCAPOTZALCO-LA VILLA NO. 304 , STA. CATARINA C.P. 2250 AZCAPOTZALCO
tel: 53 82 96 15
correo: cecati1.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 011,,Azcapotzalco,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. AZCAPOTZALCO-LA VILLA Nº. 304 BIS , STA. CATARINAC.P. 2250 AZCAPOTZALCODirector: RIGOBERTO PASTEN BADILLOTel: 53 94 52 14correo: cecati11.dir@dgcft.sems.gob.mx","CALZ. AZCAPOTZALCO-LA VILLA Nº. 304 BIS , STA. CATARINA
C.P. 2250 AZCAPOTZALCO
Director: RIGOBERTO PASTEN BADILLO
Tel: 53 94 52 14
correo: cecati11.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 108,,Azcapotzalco,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. AZCAPOTZALCO-LA VILLA No. 304.C , STA. CATARINAC.P. 2250 AZCAPOTZALCODirector: FERNANDO CHAVEZ CAÑASTel: 53 82 85 69correo: cecati108.dir@dgcft.sems.gob.mx","CALZ. AZCAPOTZALCO-LA VILLA No. 304.C , STA. CATARINA
C.P. 2250 AZCAPOTZALCO
Director: FERNANDO CHAVEZ CAÑAS
Tel: 53 82 85 69
correo: cecati108.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 155,,Azcapotzalco,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"AV. AZCAPOTZALCO S/N ESQ.NUEVA JERUSALEN , AZCAPOTZALCOC.P. 2000 AZCAPOTZALCODirector: ARTURO PATIÑO HERNANDEZcorreo: cecati155.dir@dgcft.sems.gob.mx","AV. AZCAPOTZALCO S/N ESQ.NUEVA JERUSALEN , AZCAPOTZALCO
C.P. 2000 AZCAPOTZALCO
Director: ARTURO PATIÑO HERNANDEZ
correo: cecati155.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 066,,Benito Juárez,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"MORAS N° 519 , DEL VALLEC.P. 3100 BENITO JUAREZDirector: CESAR EDUARDO MIJARES MALDONADOTel: 55 24 79 61correo: cecati66.dir@dgcft.sems.gob.mx","MORAS N° 519 , DEL VALLE
C.P. 3100 BENITO JUAREZ
Director: CESAR EDUARDO MIJARES MALDONADO
Tel: 55 24 79 61
correo: cecati66.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 173,,Benito Juárez,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. TLALPAN No. 1021 , AMERICAS UNIDASC.P. 3610 BENITO JUAREZDirector: ELISEO DE LA ROSA GALAVIZTel: 52 43 24 99correo: cecati173.dir@dgcft.sems.gob.mx","CALZ. TLALPAN No. 1021 , AMERICAS UNIDAS
C.P. 3610 BENITO JUAREZ
Director: ELISEO DE LA ROSA GALAVIZ
Tel: 52 43 24 99
correo: cecati173.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 187,,Benito Juárez,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"ANTILLAS S/N ENTRE VICTOR HUGO Y MUNICIPIO LIBRE , PORTALESC.P. 3300 BENITO JUAREZDirector: GINA ACOSTA MORALESTel: 56 74 48 31correo: cecati187.dir@dgcft.sems.gob.mx","ANTILLAS S/N ENTRE VICTOR HUGO Y MUNICIPIO LIBRE , PORTALES
C.P. 3300 BENITO JUAREZ
Director: GINA ACOSTA MORALES
Tel: 56 74 48 31
correo: cecati187.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 025,,Cuauhtémoc,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"AV. MAZATLAN NO. 10 , CONDESAC.P. 6140 CUAUHTEMOCDirector: JOSE REYES ALVARADOTel: 52 11 44 36correo: cecati25.dir@dgcft.sems.gob.mx","AV. MAZATLAN NO. 10 , CONDESA
C.P. 6140 CUAUHTEMOC
Director: JOSE REYES ALVARADO
Tel: 52 11 44 36
correo: cecati25.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 058,,Cuauhtémoc,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"LERDO N° 322 , SAN SIMON TOLNAHUACC.P. 6920 CUAUHTEMOCDirector: JESUS ALEJANDRO CONTRERAS CALDERONTel: 57 82 02 63correo: cecati58.dir@dgcft.sems.gob.mx","LERDO N° 322 , SAN SIMON TOLNAHUAC
C.P. 6920 CUAUHTEMOC
Director: JESUS ALEJANDRO CONTRERAS CALDERON
Tel: 57 82 02 63
correo: cecati58.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 153,,Cuauhtémoc,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. VALLEJO NO. 41 ESQ. CON EJE CENTRAL CARDENAS , SAN SIMON TOLNAHUACC.P. 6920 CUAUHTEMOCDirector: JOSE LUIS NAVARRO GARCIATel: 55 83 25 97correo: cecati153.dir@dgcft.sems.gob.mx","CALZ. VALLEJO NO. 41 ESQ. CON EJE CENTRAL CARDENAS , SAN SIMON TOLNAHUAC
C.P. 6920 CUAUHTEMOC
Director: JOSE LUIS NAVARRO GARCIA
Tel: 55 83 25 97
correo: cecati153.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 158,,Cuauhtémoc,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"BERLIOZ No. 82 , EX-HIPODROMO DE PERALVILLOC.P. 6250 CUAUHTEMOCDirector: GABRIEL ONTIVEROS ACEVEDOcorreo: cecati158.dir@dgcft.sems.gob.mx","BERLIOZ No. 82 , EX-HIPODROMO DE PERALVILLO
C.P. 6250 CUAUHTEMOC
Director: GABRIEL ONTIVEROS ACEVEDO
correo: cecati158.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 162,,Cuauhtémoc,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"NARANJO NO. 110 , SANTA MARÍA LA RIBERAC.P. 06400, Del. CuauhtémocDirector: JOSUÉ MONTERO GORDILLOTel: 55 41 16 28correo: cecati162.dir@dgcft.sems.gob.mx","NARANJO NO. 110 , SANTA MARÍA LA RIBERA
C.P. 06400, Del. Cuauhtémoc
Director: JOSUÉ MONTERO GORDILLO
Tel: 55 41 16 28
correo: cecati162.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 012,,Gustavo A. Madero,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. AZCAPOTZALCO-LA VILLA Nº. 304 BIS , STA. CATARINAC.P. 2250 AZCAPOTZALCODirector: RIGOBERTO PASTEN BADILLOTel: 53 94 52 14correo: cecati11.dir@dgcft.sems.gob.mx","CALZ. AZCAPOTZALCO-LA VILLA Nº. 304 BIS , STA. CATARINA
C.P. 2250 AZCAPOTZALCO
Director: RIGOBERTO PASTEN BADILLO
Tel: 53 94 52 14
correo: cecati11.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 074,,Gustavo A. Madero,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CZDA. DE GUADALUPE No. 720 , INDUSTRIALC.P. 07800 GUSTAVO A. MADERODirector: ALBERTO GENARO AVILÉS ORTIZFax: 55 77 50 61e-mails: cecati74.dir@dgcft.sems.gob.mx","CZDA. DE GUADALUPE No. 720 , INDUSTRIAL
C.P. 07800 GUSTAVO A. MADERO
Director: ALBERTO GENARO AVILÉS ORTIZ
Fax: 55 77 50 61
e-mails: cecati74.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 075,,Gustavo A. Madero,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"AV. TICOMAN No. 159 ESQ. CALLE LIMA , LINDAVISTAC.P. 07300 GUSTAVO A. MADERODirector: ROBERTO LAVALLE RODRIGUEZFax: 57 54 69 68e-mails: cecati75.dir@dgcft.sems.gob.mx","AV. TICOMAN No. 159 ESQ. CALLE LIMA , LINDAVISTA
C.P. 07300 GUSTAVO A. MADERO
Director: ROBERTO LAVALLE RODRIGUEZ
Fax: 57 54 69 68
e-mails: cecati75.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 128,,Gustavo A. Madero,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"AV. 669 ESQ. AV. 606 , SAN JUAN DE ARAGON IV SECCIONC.P. 7900 GUSTAVO A. MADERODirector: JOEL LOPEZ LOPEZTel: 57 66 62 77correo: cecati128.dir@dgcft.sems.gob.mx","AV. 669 ESQ. AV. 606 , SAN JUAN DE ARAGON IV SECCION
C.P. 7900 GUSTAVO A. MADERO
Director: JOEL LOPEZ LOPEZ
Tel: 57 66 62 77
correo: cecati128.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 156,,Gustavo A. Madero,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALLE FCO. VILLA MZ.7 S/N , TLALPEXCO, CUAUTEPEC BARRIO ALTOC.P. 07180 GUSTAVO A.MADERODirector: VACANTE VACANTE VACANTETel: 53 03 66 43correo: cecati156.dir@dgcft.sems.gob.mx","CALLE FCO. VILLA MZ.7 S/N , TLALPEXCO, CUAUTEPEC BARRIO ALTO
C.P. 07180 GUSTAVO A.MADERO
Director: VACANTE VACANTE VACANTE
Tel: 53 03 66 43
correo: cecati156.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 004,,Miguel Hidalgo,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"PRESA SALINILLAS No. 391 , IRRIGACIONC.P. 11500 MIGUEL HIDALGODirector: JAVIER AGUIRRE ESPINOSAFax: 55 57 28 04e-mails: cecati4.dir@dgcft.sems.gob.mx","PRESA SALINILLAS No. 391 , IRRIGACION
C.P. 11500 MIGUEL HIDALGO
Director: JAVIER AGUIRRE ESPINOSA
Fax: 55 57 28 04
e-mails: cecati4.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 152,,Miguel Hidalgo,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"LAGO XOCHIMILCO NO.19 , ANAHUACC.P. 11320 MIGUEL HIDALGODirector: CITLALI CAMUS CARACASTel: 53 42 10 34correo: cecati152.dir@dgcft.sems.gob.mx","LAGO XOCHIMILCO NO.19 , ANAHUAC
C.P. 11320 MIGUEL HIDALGO
Director: CITLALI CAMUS CARACAS
Tel: 53 42 10 34
correo: cecati152.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 099,,Tlalpan,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"JOAQUIN ROMO No.144 , MIGUEL HIDALGOC.P. 14410 TLALPANDirector: LUIS ERASMO CONEJO PLATATel: 54 24 27 56correo: cecati99.dir@dgcft.sems.gob.mx","JOAQUIN ROMO No.144 , MIGUEL HIDALGO
C.P. 14410 TLALPAN
Director: LUIS ERASMO CONEJO PLATA
Tel: 54 24 27 56
correo: cecati99.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 127,,Tlalpan,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"PROLONG. CALLE DEL RIO No.10 , TORIELLO GUERRAC.P. 14040 TLALPANDirector: GUADALUPE RODRIGUEZ HEVIATel: 56 66 47 32correo: cecati127.dir@dgcft.sems.gob.mx","PROLONG. CALLE DEL RIO No.10 , TORIELLO GUERRA
C.P. 14040 TLALPAN
Director: GUADALUPE RODRIGUEZ HEVIA
Tel: 56 66 47 32
correo: cecati127.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
Agencia Colocadora - Bolsa de empleo,,Venustiano Carranza,Bolsa de trabajo/Empleabilidad,Bolsa de trabajo/Empleabilidad,Asesora y canaliza a los ciudadanos solicitantes de empleo para que puedan conseguir mejores ofertas de trabajo de acuerdo al nivel académico y experiencia laboral.,,,Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
Talleres de capacitación para el empleo,,Venustiano Carranza,Asesoría/Capacitación,Capacitación,Ofrece talleres de capacitación para el empleo que ayuden a los buscadores a tener las herramientas necesarias para presentarse a una entrevista de trabajo.,,,Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 003,,Venustiano Carranza,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"FRAY SERVANDO TERESA DE MIER Y SUR 103 , AERONAUTICA MILITARC.P. 15970 VENUSTIANO CARRANZADirector: CESAR ARTEAGA MORITATel: 55 52 16 15correo: cecati3.dir@dgcft.sems.gob.mx","FRAY SERVANDO TERESA DE MIER Y SUR 103 , AERONAUTICA MILITAR
C.P. 15970 VENUSTIANO CARRANZA
Director: CESAR ARTEAGA MORITA
Tel: 55 52 16 15
correo: cecati3.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
CECATI 013,,Coyoacán,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALLE MUSEO S/N ESQ. DIVISION DEL NORTE , EL ROSARIOC.P. 4380 COYOACANDirector: LAURA ENEDINA MENDOZA RAMOSTel: 54 21 44 89correo: cecati13.dir@dgcft.sems.gob.mx","CALLE MUSEO S/N ESQ. DIVISION DEL NORTE , EL ROSARIO
C.P. 4380 COYOACAN
Director: LAURA ENEDINA MENDOZA RAMOS
Tel: 54 21 44 89
correo: cecati13.dir@dgcft.sems.gob.mx",Necesidad-NE,1,1,0,0,0,0,0,1,0,0,0
