ID,Prioridad,Nombre del Programa,Nombre de la modalidad/Categoría (si aplica),Institución a cargo,Características del apoyo,Mecanismo de entrega,Descripción del programa,Dato de contacto para pedir informes,Concatenar 1,Concatenar 2,Clasificación por prioridad (ya está en operación),Clasificación por prioridad (aún no existe),Número de Prioridad,Profesionista,Necesidad,Tradicional,Lifestyle,Cultural,Emp Social,Alto impacto,Aún no existe,Start up,Crecimiento,Consolidación
F-CCT-CC-24,Programas,Cursos CECATI 014,,CECATI 014,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"PLAZA BENITO JUAREZ, ESQ. SUR 157 , GABRIEL RAMOS MILLAN
 C.P. 8020 IZTACALCO
 Director: JUAN SIMON OCAÑA MONDRAGON
 Tel: 56 49 79 99
 correo: cecati14.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-25,Programas,Cursos CECATI 176,,CECATI 176,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"AV. RAFAEL ATLIXCO S/N , GUADALUPE DEL MORAL
 c.p. 9300 IZTAPALAPA
 Director: MARTHA LOPEZ ZETINA
 Tel: 56 85 08 56
 correo: cecati176.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-26,Programas,Cursos CECATI 171,,CECATI 171,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"LENGUAS INDIGENAS S/N , LIC. CARLOS ZAPATA VELA
 C.P. 8040 IZTACALCO
 Director: MARIA LAURA GOMEZ HERNANDEZ
 Tel: 56 50 59 11
 correo: cecati73.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-27,Programas,Cursos CECATI 152,,CECATI 152,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"LAGO XOCHIMILCO NO.19 , ANAHUAC
 C.P. 11320 MIGUEL HIDALGO
 Director: CITLALI CAMUS CARACAS
 Tel: 53 42 10 34
 correo: cecati152.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-28,Programas,Cursos CECATI 004,,CECATI 004,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"PRESA SALINILLAS No. 391 , IRRIGACION
 C.P. 11500 MIGUEL HIDALGO
 Director: JAVIER AGUIRRE ESPINOSA
 Fax: 55 57 28 04
 e-mails: cecati4.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
E-SED-PS-00,Programas,"Estímulos para el Bachillerato Universal ""Prepa Sí""",,Secretaría de Educación del Distrito Federal,Beca,Subsidio,Otorga apoyo económico de entre $500 y $700 mensuales para que alumnos de bachillerato y primer año de universidad no tengan que abandonar sus estudios por falta de recursos económicos.,"Mérida número 5, colonia Roma, Delegación Cuauhtémoc, C.P. 06700. (Entre calle Puebla y Av. Chapultepec, Metro Insurgentes)
 Teléfonos: 01-800-2-PREPASI (01-800-2-7737274)",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,0,1,0,0,0,0,0,1,0,0,0
F-SDS-PT-00,Programas,Programa de Empleo Temporal,,Secretaría de Desarrollo Social (SEDESOL),Beca,Subsidio,El interesado puede participar en proyectos sociales o comunitarios a cambio de un apoyo económico equivalente a un salario mínimo.,"(01 55) 5328 5000, ext. 55246
 Horario de atención
 9:00 AM a 8:00 PM
 Dirección
 Av. Paseo de la Reforma 51, piso 14,
 Col. Tabacalera, Del. Cuauhtémoc,
 CP 06030, México, DF",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,0,1,0,0,0,1,0,1,0,0,0
F-SDS-AM-00,Programas,Instituto Nacional de las Personas Adultas Mayores (INAPAM),,Secretaría de Desarrollo Social (SEDESOL),Asesoría/Capacitación,Capacitación,"Por medio de una tarjeta, los beneficiarios tienes acceso a capacitaciones y apoyo para conseguir trabajo. La tarjeta también brinda una serie de beneficios sociales.","(01 55) 5669 4982
 Página electrónica
 www.inapam.gob.mx
 Sedesol
 Interior del país
 Lada sin costo
 01 800 007 3705",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,0,1,0,0,0,0,0,1,0,0,0
F-STP-PE-01,Programas,Programa de Apoyo al Empleo,Bécate,Secretaría del Trabajo y la Previsión Social (STPS),Asesoría/Capacitación,Capacitación,Brinda cursos de capacitación a buscadores de empleo para facilitar su colocación o el desarrollo de una actividad productiva por cuenta propia.,"Teléfono 01-800-841-20-20
 Existen oficinas del Servicio Nacional del Empleo en todas las delegaciones. Consultar en: http://empleo.gob.mx/es_mx/empleo/donde_puedes_encontrarnos",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-STP-PE-02,Programas,Programa de Apoyo al Empleo,Movilidad Laboral,Secretaría del Trabajo y la Previsión Social (STPS),Otros . Gastos de traslado,Subsidio,Otorga apoyo económico a los buscadores de empleo que con fines ocupacionales se trasladan a localidades distintas a las de su residencia.,"Teléfono 01-800-841-20-20
 Existen oficinas del Servicio Nacional del Empleo en todas las delegaciones. Consultar en: http://empleo.gob.mx/es_mx/empleo/donde_puedes_encontrarnos",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,0,1,0,0,0,0,0,1,0,0,0
F-STP-PE-02,Programas,Programa de Apoyo al Empleo,Repatriados Trabajando,Secretaría del Trabajo y la Previsión Social (STPS),Otros . Gastos de traslado,Subsidio,Otorga apoyo económico a connacionales repatriados que buscan empleo y desean colocarse en su lugar de origen o residencia.,"Teléfono 01-800-841-20-20
 Existen oficinas del Servicio Nacional del Empleo en todas las delegaciones. Consultar en: http://empleo.gob.mx/es_mx/empleo/donde_puedes_encontrarnos",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,0,1,0,0,0,0,0,1,0,0,0
E-STF-CP-01,Programas,Programa de Capacitación para el Impulso de la Economía Social (CAPACITES),Subprograma compensación a la ocupación temporal (SCOT),Secretaría del Trabajo y Fomento al Empleo del Distrito Federal (STyFE),"Asesoría/Capacitación
 Subsidio","Subsidio
 Capacitación",Emplea a residentes del Distrito Federal en ocupaciones temporales. Estas ocupaciones les permiten adquirir mayor capacitación al tiempo que les permite contar con ingresos para atender sus necesidades básicas.,"Secretaría de Trabajo y Fomento al Empleo del DF
 José María Izazaga No. 89, 5º piso
 Colonia Centro, CP 06010
 Cuauhtémoc, DF.
 5709-3222, 5709-1494 
 trabajo.gdf@gmail.com",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
E-STF-JD-00,Programas,"Programa para Jóvenes Desempleados ""La Comuna""",,Secretaría del Trabajo y Fomento al Empleo del Distrito Federal (STyFE),Asesoría/Capacitación,Capacitación,Brinda cursos y talleres para jóvenes en diversos temas.,"Coordinador del Programa de Atención Integral a Jóvenes Desempleados “La Comuna”
 Lic. Fernando Edgar Rojas Román
 
 José María Izazaga No. 89, 4º piso, Col. Centro. Delg. Cuauhtémoc. Tel. 5709-5108
 Correo-e: ferrojas@df.gob.mx / coordinacioncomuna@gmail.com.
 
 Además existe un contacto por delegación.",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,0,1,0,0,0,0,0,1,0,0,0
E-STF-BR-00,Programas,Servicio de Empleo (Bolsa de Trabajo),,Secretaría del Trabajo y Fomento al Empleo del Distrito Federal (STyFE),Bolsa de trabajo/Empleabilidad,Bolsa de trabajo/Empleabilidad,"Proporciona orientación a los buscadores de empleo sobre las vacantes de las empresas que demandan mano de obra, con el objetivo de facilitar su reinserción laboral.","http://www.trabajociudaddemexico.df.gob.mx/
 
 Lic. Isaac Guevara Leon.
 Subdirector de atención del Seguro de Desempleo.
 Correo: segurodedesempleo@df.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
E-STF-BJ-01,Programas,Subprograma Becas a la Capacitación para el Trabajo (BÉCATE),Capacitación Mixta,Secretaría del Trabajo y Fomento al Empleo del Distrito Federal (STyFE),"Asesoría/Capacitación
 Beca
 Bolsa de trabajo/Empleabilidad","Capacitación
 Subsidio","Imparte capacitación a desempleados para que adquieren y/o fortalezcan habilidades laborales que permitan su colocación en un puesto de trabajo. Las capacitación son impartidas por empresas que están buscando personal. Además, los beneficiarios obtienen una beca de hasta tres salarios mínimos durante el periodo de capacitación.","Responsable:
 C. Miguel Ángel Vera Luquín.
  
 Teléfono: 57097742",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
E-STF-BJ-02,Programas,Subprograma Becas a la Capacitación para el Trabajo (BÉCATE),Capacitación en la Práctica Laboral,Secretaría del Trabajo y Fomento al Empleo del Distrito Federal (STyFE),"Asesoría/Capacitación
 Beca
 Bolsa de trabajo/Empleabilidad",Capacitación,"Imparte prácticas laborales dentro de las empresas para facilitar la inserción de los participantes en el mercado de trabajo. Además, los beneficiarios obtienen una beca de hasta tres salarios mínimos durante el periodo de capacitación.","Responsable:
 C. Miguel Ángel Vera Luquín.
  
 Teléfono: 57097742",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
E-STF-BJ-03,Programas,Subprograma Becas a la Capacitación para el Trabajo (BÉCATE),Vales de Capacitación,Secretaría del Trabajo y Fomento al Empleo del Distrito Federal (STyFE),Asesoría/Capacitación,Subsidio,"Por medio de instituciones educativas, se imparten cursos a desempleados que enfrentan dificultades para insertarse al mercado laboral y requieren actualizar, mejorar y/o reconvertir sus competencias, habilidades y/o destrezas.","Responsable:
 C. Miguel Ángel Vera Luquín.
  
 Teléfono: 57097742",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
E-STF-BJ-04,Programas,Subprograma Becas a la Capacitación para el Trabajo (BÉCATE),Capacitación a Trabajadores en Suspensión Temporal de Labores,Secretaría del Trabajo y Fomento al Empleo del Distrito Federal (STyFE),Asesoría/Capacitación,Capacitación,Imparte cursos a subempleados o desempleados para fortalecer sus conocimientos y habilidades laborales.,"Responsable:
 C. Miguel Ángel Vera Luquín.
  
 Teléfono: 57097742",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
E-STF-SD-00,Programas,Programa Seguro de Desempleo,,Secretaría del Trabajo y Fomento al Empleo del Distrito Federal (STyFE),Beca,Subsidio,Otorga apoyo económico a desempleados.,"Secretaría de Trabajo y Fomento al Empleo.
 Dirección de Seguro de Desempleo
 Bolívar 231, primer piso, esq. Diagonal 20 de Noviembre. Col. Obrera, C.P. 06800. Delg. Cuauhtémoc, México, DF.
 55 78 62 55, 55 78 61 29.
 Correo: segurodedesempleo@df.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,0,1,0,0,0,0,0,1,0,0,0
E-STF-MD-00,Programas,Programa Emergente de Apoyo a Trabajadoras y Trabajadores Migrantes Desempleados del D.F,,Secretaría del Trabajo y Fomento al Empleo del Distrito Federal (STyFE),Beca,Subsidio,Otorga apoyo económico a trabajadores migrantes que hayan perdido su empleo en el extranjero y que se encuentren desempleados en el territorio nacional. El apoyo consta de un salario mínimo durante seis meses.,"segurodedesempleo@df.gob.mx
 
 Además existe un contacto por delegación.",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,0,1,0,0,0,0,0,1,0,0,0
E-STF-FM-00,Programas,Ferias de Empleo,,Secretaría del Trabajo y Fomento al Empleo del Distrito Federal (STyFE),Bolsa de trabajo/Empleabilidad,Bolsa de trabajo/Empleabilidad,Ferias de empleo que brindan opciones para la inserción laboral de las personas.,,Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-29,Programas,Cursos CECATI 188,,CECATI 188,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"CALZ. REFORMA AGRARIA S/N , STA. CECILIA
 C.P. 13010 TLAHUAC
 Director: FERNANDO PONCE GALICIA
 Tel: 58 42 87 91
 correo: cecati188.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-30,Programas,Cursos CECATI 099,,CECATI 099,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"JOAQUIN ROMO No.144 , MIGUEL HIDALGO
 C.P. 14410 TLALPAN
 Director: LUIS ERASMO CONEJO PLATA
 Tel: 54 24 27 56
 correo: cecati99.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
F-CCT-CC-31,Programas,Cursos CECATI 127,,CECATI 127,Asesoría/Capacitación,Capacitación,Imparte cursos relacionados a la formación de recursos humanos que satisfagan las necesidades de los sectores productivo y de servicios.,"PROLONG. CALLE DEL RIO No.10 , TORIELLO GUERRA
 C.P. 14040 TLALPAN
 Director: GUADALUPE RODRIGUEZ HEVIA
 Tel: 56 66 47 32
 correo: cecati127.dir@dgcft.sems.gob.mx",Programas,,que pueden resultar de tu interés,que pueden resultar de tu interés,1,1,1,0,0,0,0,0,1,0,0,0
